Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size,time_to_voxelize
1.0,0,2.01,-312.3499949886684,/home/sayon/autoware_map/town01/splitted_32/32_12_-323.pcd,1.0,0,1,501.0,0.3606376647949219,0.02459239959716797
2.0,0,2.01,-310.9161438008364,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.5,0,2,501.0,0.3194694519042969,0.0036127567291259766
2.0,1,88.37146089945574,-16.340000000000032,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.3333333333333333,1,2,13.140027917622016,0.4889488220214844,0.013286590576171875
3.0,0,2.01,-306.8827961136643,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.5,0,2,501.0,0.3194694519042969,0.003518819808959961
3.0,1,88.37213736969399,-18.701557601718264,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.4,1,2,13.140027917622016,0.4889488220214844,0.005039215087890625
3.0,2,107.79,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_108_-1.pcd,0.1666666666666666,1,3,6.669283496305481,0.2747001647949219,0.003296375274658203
4.0,0,2.01,-300.67641214632374,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.4285714285714285,1,2,501.0,0.3194694519042969,0.0035490989685058594
4.0,1,88.37320438980586,-22.426524812248545,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.375,0,2,13.140027917622016,0.4889488220214844,0.0048100948333740234
4.0,2,109.77725570789538,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_124_-1.pcd,0.1111111111111111,1,4,10.007724803986072,0.2536735534667969,0.0031270980834960938
4.0,3,320.54,-129.51749799304255,/home/sayon/autoware_map/town01/splitted_32/32_332_-127.pcd,0.1,0,4,501.0,0.3662528991699219,0.004000186920166016
5.0,0,2.01,-292.04391479313523,/home/sayon/autoware_map/town01/splitted_32/32_12_-295.pcd,0.0909090909090909,0,5,501.0,0.2323112487792968,0.013094425201416016
5.0,1,88.37473519492153,-27.77056547106247,/home/sayon/autoware_map/town01/splitted_32/32_92_-29.pcd,0.0833333333333333,0,5,501.0,0.2960472106933594,0.0034325122833251953
5.0,2,113.25797532548664,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_124_-1.pcd,0.1538461538461538,1,4,10.007724803986072,0.2536735534667969,0.0031425952911376953
5.0,3,318.21854529251345,-129.51635911150734,/home/sayon/autoware_map/town01/splitted_32/32_332_-127.pcd,0.1428571428571428,0,4,501.0,0.3662528991699219,0.003953456878662109
5.0,4,15.26,-330.5429360967185,/home/sayon/autoware_map/town01/splitted_32/32_28_-337.pcd,0.0666666666666666,0,5,501.0,0.3567924499511719,0.007879972457885742
6.0,0,2.01,-281.3755574213698,/home/sayon/autoware_map/town01/splitted_32/32_12_-281.pcd,0.0625,0,6,501.0,0.1791801452636718,0.002599000930786133
6.0,1,88.37676067091691,-34.8415021709493,/home/sayon/autoware_map/town01/splitted_32/32_92_-29.pcd,0.1176470588235294,0,5,501.0,0.2960472106933594,0.0034809112548828125
6.0,2,118.74830886380282,-1.9499999999999889,/home/sayon/autoware_map/town01/splitted_32/32_124_-1.pcd,0.1666666666666666,0,4,10.007724803986072,0.2536735534667969,0.0031180381774902344
6.0,3,313.4341010257928,-129.51401191291072,/home/sayon/autoware_map/town01/splitted_32/32_316_-127.pcd,0.0526315789473684,0,6,501.0,0.2816276550292969,0.0077321529388427734
