Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size
1.0,0,2.01,-312.3499949886684,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,1.0,0,1,501,10.213956832885742
2.0,0,2.01,-310.9161438008364,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,1.0,0,1,501,10.213956832885742
2.0,1,88.37146089945574,-16.340000000000032,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.3333333333333333,1,2,3.03185105608057,11.910383224487305
3.0,0,2.01,-306.8827961136643,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.75,0,1,501,10.213956832885742
3.0,1,88.37213736969399,-18.701557601718264,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.4,1,2,3.03185105608057,11.910383224487305
3.0,2,107.78999999999999,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.5,1,2,3.03185105608057,11.910383224487305
4.0,0,2.01,-300.67641214632374,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.5714285714285714,1,1,501,10.213956832885742
4.0,1,88.37320438980586,-22.426524812248545,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.5,0,4,4.259661761731667,11.910383224487305
4.0,2,109.77725570789538,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.5555555555555556,1,4,4.259661761731667,11.910383224487305
4.0,3,320.53999999999996,-129.51749799304255,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.1,0,4,501,11.933195114135742
5.0,0,2.01,-292.04391479313523,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.45454545454545453,0,1,501,10.213956832885742
5.0,1,88.37473519492153,-27.77056547106247,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.5,0,5,16.442102593575914,11.910383224487305
5.0,2,113.25797532548663,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.5384615384615384,1,5,16.442102593575914,11.910383224487305
5.0,3,318.21854529251345,-129.51635911150734,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.14285714285714285,0,4,501,11.933195114135742
5.0,4,15.26,-330.5429360967185,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.4,0,1,501,10.213956832885742
6.0,0,2.01,-281.3755574213698,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.4375,0,1,501,10.213956832885742
6.0,1,88.37676067091691,-34.8415021709493,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.47058823529411764,0,5,16.442102593575914,11.910383224487305
6.0,2,118.74830886380282,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_198_-64.pcd,0.05555555555555555,0,6,501,14.332456588745117
6.0,3,313.43410102579276,-129.51401191291072,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.15789473684210525,0,4,501,11.933195114135742
6.0,4,17.46563350096345,-330.54420589148015,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.4,0,1,501,10.213956832885742
6.0,5,334.76717425431707,-214.26,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.19047619047619047,0,4,501,11.933195114135742
7.0,0,2.02,-268.28644036872817,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.4090909090909091,0,1,501,10.213956832885742
7.0,1,88.379283070605,-43.64719948206101,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.391304347826087,0,5,16.442102593575914,11.910383224487305
7.0,2,125.72142545470037,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_198_-64.pcd,0.08333333333333333,0,6,501,14.332456588745117
7.0,3,306.9231943250261,-129.5108177298,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.2,0,4,501,11.933195114135742
7.0,4,21.97326899419073,-330.5468009608487,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.38461538461538464,0,1,501,10.213956832885742
7.0,5,334.7664072564678,-215.64430328497198,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.2222222222222222,0,4,501,11.933195114135742
7.0,6,320.52999751411244,2.009999999999991,/home/sayon/autoware_map/town01/splitted_4/4_323_-64.pcd,0.03571428571428571,1,7,11.127909061572433,10.05933952331543
8.0,0,2.02,-254.6885992239854,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.3793103448275862,0,1,501,10.213956832885742
8.0,1,88.38,-54.72264523050751,/home/sayon/autoware_map/town01/splitted_4/4_-51_-64.pcd,0.3333333333333333,0,5,16.442102593575914,11.910383224487305
8.0,2,134.0950862510223,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_4/4_198_-64.pcd,0.0967741935483871,1,6,501,14.332456588745117
8.0,3,298.6196843535267,-129.50674411416864,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.21875,1,4,501,11.933195114135742
8.0,4,28.87768357604742,-330.5507758684951,/home/sayon/autoware_map/town01/splitted_4/4_73_-274.pcd,0.36363636363636365,0,1,501,10.213956832885742
8.0,5,334.7647087136081,-218.70989005629906,/home/sayon/autoware_map/town01/splitted_4/4_323_-169.pcd,0.23529411764705882,0,4,501,11.933195114135742
8.0,6,318.80246714413994,2.015064271055678,/home/sayon/autoware_map/town01/splitted_4/4_323_-64.pcd,0.05714285714285714,0,7,11.127909061572433,10.05933952331543
