Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size
1.0,0,2.01,-312.3499949886684,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,1.0,0,1,501,0.4409599304199219
2.0,0,2.01,-310.9161438008364,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,1.0,0,1,501,0.4409599304199219
2.0,1,88.37146089945574,-16.340000000000032,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.3333333333333333,1,2,11.7375004841324,1.5176963806152344
3.0,0,2.01,-306.8827961136643,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,0.75,0,1,501,0.4409599304199219
3.0,1,88.37213736969399,-18.701557601718264,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.4,1,2,11.7375004841324,1.5176963806152344
3.0,2,107.78999999999999,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_108_-1.pcd,0.16666666666666666,1,3,6.89829904311735,0.4967765808105469
4.0,0,2.01,-300.67641214632374,/home/sayon/autoware_map/town01/splitted_16/16_12_-298.pcd,0.5714285714285714,1,1,501,0.4409599304199219
4.0,1,88.37320438980586,-22.426524812248545,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.375,0,2,11.7375004841324,1.5176963806152344
4.0,2,109.77725570789538,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_108_-1.pcd,0.2222222222222222,1,3,6.89829904311735,0.4967765808105469
4.0,3,320.53999999999996,-129.51749799304255,/home/sayon/autoware_map/town01/splitted_16/16_332_-136.pcd,0.1,0,4,501,0.7308616638183594
5.0,0,2.01,-292.04391479313523,/home/sayon/autoware_map/town01/splitted_16/16_12_-271.pcd,0.09090909090909091,0,5,501,0.3471488952636719
5.0,1,88.37473519492153,-27.77056547106247,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.3333333333333333,0,2,11.7375004841324,1.5176963806152344
5.0,2,113.25797532548663,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_108_-1.pcd,0.23076923076923078,1,3,6.89829904311735,0.4967765808105469
5.0,3,318.21854529251345,-129.51635911150734,/home/sayon/autoware_map/town01/splitted_16/16_332_-136.pcd,0.14285714285714285,0,4,501,0.7308616638183594
5.0,4,15.26,-330.5429360967185,/home/sayon/autoware_map/town01/splitted_16/16_44_-325.pcd,0.06666666666666667,0,5,501,1.3407554626464844
6.0,0,2.01,-281.3755574213698,/home/sayon/autoware_map/town01/splitted_16/16_12_-271.pcd,0.125,0,5,501,0.3471488952636719
6.0,1,88.37676067091691,-34.8415021709493,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.29411764705882354,0,2,11.7375004841324,1.5176963806152344
6.0,2,118.74830886380282,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.05555555555555555,0,6,501,0.5731925964355469
6.0,3,313.43410102579276,-129.51401191291072,/home/sayon/autoware_map/town01/splitted_16/16_300_-136.pcd,0.05263157894736842,0,6,501,1.3924674987792969
6.0,4,17.46563350096345,-330.54420589148015,/home/sayon/autoware_map/town01/splitted_16/16_44_-325.pcd,0.1,0,5,501,1.3407554626464844
6.0,5,334.76717425431707,-214.26,/home/sayon/autoware_map/town01/splitted_16/16_332_-217.pcd,0.047619047619047616,0,6,501,1.3041038513183594
7.0,0,2.02,-268.28644036872817,/home/sayon/autoware_map/town01/splitted_16/16_12_-271.pcd,0.13636363636363635,0,5,501,0.3471488952636719
7.0,1,88.379283070605,-43.64719948206101,/home/sayon/autoware_map/town01/splitted_16/16_108_-28.pcd,0.2608695652173913,0,2,11.7375004841324,1.5176963806152344
7.0,2,125.72142545470037,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_16/16_140_-1.pcd,0.08333333333333333,0,6,501,0.5731925964355469
7.0,3,306.9231943250261,-129.5108177298,/home/sayon/autoware_map/town01/splitted_16/16_300_-136.pcd,0.08,0,6,501,1.3924674987792969
7.0,4,21.97326899419073,-330.5468009608487,/home/sayon/autoware_map/town01/splitted_16/16_44_-325.pcd,0.11538461538461539,0,5,501,1.3407554626464844
7.0,5,334.7664072564678,-215.64430328497198,/home/sayon/autoware_map/town01/splitted_16/16_332_-217.pcd,0.07407407407407407,0,6,501,1.3041038513183594
7.0,6,320.52999751411244,2.009999999999991,/home/sayon/autoware_map/town01/splitted_16/16_332_-1.pcd,0.03571428571428571,1,7,14.699880442551283,0.5997123718261719
