Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size
1.0,0,2.01,-312.3499949886684,/home/sayon/autoware_map/town01/splitted_32/32_12_-323.pcd,1.0,0,1,501,0.3606376647949219
2.0,0,2.01,-310.9161438008364,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.5,0,2,501,0.3194694519042969
2.0,1,88.37146089945574,-16.340000000000032,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.3333333333333333,1,2,13.140027917622016,0.4889488220214844
3.0,0,2.01,-306.8827961136643,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.5,0,2,501,0.3194694519042969
3.0,1,88.37213736969399,-18.701557601718264,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.4,1,2,13.140027917622016,0.4889488220214844
3.0,2,107.78999999999999,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_32/32_108_-1.pcd,0.16666666666666666,1,3,6.669283496305481,0.2747001647949219
4.0,0,2.01,-300.67641214632374,/home/sayon/autoware_map/town01/splitted_32/32_12_-309.pcd,0.42857142857142855,1,2,501,0.3194694519042969
4.0,1,88.37320438980586,-22.426524812248545,/home/sayon/autoware_map/town01/splitted_32/32_92_-15.pcd,0.375,0,2,13.140027917622016,0.4889488220214844
4.0,2,109.77725570789538,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_32/32_124_-1.pcd,0.1111111111111111,1,4,10.007724803986072,0.2536735534667969
4.0,3,320.53999999999996,-129.51749799304255,/home/sayon/autoware_map/town01/splitted_32/32_332_-127.pcd,0.1,0,4,501,0.3662528991699219
5.0,0,2.01,-292.04391479313523,/home/sayon/autoware_map/town01/splitted_32/32_12_-295.pcd,0.09090909090909091,0,5,501,0.23231124877929688
5.0,1,88.37473519492153,-27.77056547106247,/home/sayon/autoware_map/town01/splitted_32/32_92_-29.pcd,0.08333333333333333,0,5,501,0.2960472106933594
5.0,2,113.25797532548663,-1.9499999999999886,/home/sayon/autoware_map/town01/splitted_32/32_124_-1.pcd,0.15384615384615385,1,4,10.007724803986072,0.2536735534667969
5.0,3,318.21854529251345,-129.51635911150734,/home/sayon/autoware_map/town01/splitted_32/32_332_-127.pcd,0.14285714285714285,0,4,501,0.3662528991699219
5.0,4,15.26,-330.5429360967185,/home/sayon/autoware_map/town01/splitted_32/32_28_-337.pcd,0.06666666666666667,0,5,501,0.3567924499511719
