Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability,Is_Update,Valid_From,Valid_Till,Size,time_to_voxelize
8,6,318.802,2.01506,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.0285714285714285,0,8,501.0,0.6924400329589844,0.006317138671875
8,7,2.01,-312.35,/home/sayon/autoware_map/town01/splitted/4_-11_-325.pcd,0.0555555555555555,0,1,501.0,0.2414665222167968,0.003095388412475586
9,0,2.02,-241.209,/home/sayon/autoware_map/town01/splitted/4_0_-247.pcd,0.027027027027027,0,9,501.0,0.1740531921386718,0.0025365352630615234
9,1,88.38,-67.4236,/home/sayon/autoware_map/town01/splitted/5_81_-71.pcd,0.0263157894736842,0,9,501.0,0.061380386352539,0.0016243457794189453
9,2,144.216,-1.95,/home/sayon/autoware_map/town01/splitted/4_135_-11.pcd,0.0256410256410256,0,9,501.0,0.2235374450683593,0.002910137176513672
9,3,288.629,-129.502,/home/sayon/autoware_map/town01/splitted/5_283_-135.pcd,0.025,1,9,12.13373570098953,0.0407047271728515,0.0015025138854980469
9,4,37.468,-330.556,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.0975609756097561,0,6,501.0,2.0388622283935547,0.018439531326293945
9,5,334.762,-223.496,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd,0.0238095238095238,0,9,501.0,0.2604942321777344,0.003512144088745117
9,6,315.571,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.0465116279069767,0,8,501.0,0.6924400329589844,0.0063593387603759766
9,7,2.01,-310.37,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.0909090909090909,0,2,501.0,0.3863029479980469,0.0040700435638427734
9,8,334.767,-214.26,/home/sayon/autoware_map/town01/splitted/5_330_-214.pcd,0.0444444444444444,0,6,501.0,0.070962905883789,0.0017502307891845703
10,0,2.01,-227.736,/home/sayon/autoware_map/town01/splitted/5_0_-234.pcd,0.0217391304347826,0,10,501.0,0.043558120727539,0.001585245132446289
