Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name,Probability
1,0,2.01,-312.35,/home/sayon/autoware_map/town01/splitted/4_-11_-325.pcd,1.0
2,0,2.01,-310.916,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.5
2,1,88.3715,-16.34,/home/sayon/autoware_map/town01/splitted/5_81_-18.pcd,0.3333333333333333
3,0,2.01,-306.883,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.5
3,1,88.3721,-18.7016,/home/sayon/autoware_map/town01/splitted/5_81_-22.pcd,0.2
3,2,107.79,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.16666666666666666
4,0,2.01,-300.676,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd,0.42857142857142855
4,1,88.3732,-22.4265,/home/sayon/autoware_map/town01/splitted/5_81_-27.pcd,0.125
4,2,109.777,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.2222222222222222
4,3,320.54,-129.517,/home/sayon/autoware_map/town01/splitted/5_320_-135.pcd,0.1
5,0,2.01,-292.044,/home/sayon/autoware_map/town01/splitted/4_-11_-299.pcd,0.09090909090909091
5,1,88.3747,-27.7706,/home/sayon/autoware_map/town01/splitted/5_81_-32.pcd,0.08333333333333333
5,2,113.258,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.23076923076923078
5,3,318.219,-129.516,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd,0.07142857142857142
5,4,15.26,-330.543,/home/sayon/autoware_map/town01/splitted/2_-40_-377.pcd,0.06666666666666667
6,0,2.01,-281.376,/home/sayon/autoware_map/town01/splitted/4_-11_-286.pcd,0.0625
6,1,88.3768,-34.8415,/home/sayon/autoware_map/town01/splitted/4_73_-43.pcd,0.058823529411764705
6,2,118.748,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.2222222222222222
6,3,313.434,-129.514,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd,0.10526315789473684
6,4,17.4656,-330.544,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.05
6,5,334.767,-214.26,/home/sayon/autoware_map/town01/splitted/5_330_-214.pcd,0.047619047619047616
7,0,2.02,-268.286,/home/sayon/autoware_map/town01/splitted/5_0_-273.pcd,0.045454545454545456
7,1,88.3793,-43.6472,/home/sayon/autoware_map/town01/splitted/4_73_-43.pcd,0.08695652173913043
7,2,125.721,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.20833333333333334
7,3,306.923,-129.511,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd,0.12
7,4,21.9733,-330.547,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.07692307692307693
7,5,334.766,-215.644,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd,0.037037037037037035
7,6,320.53,2.01,/home/sayon/autoware_map/town01/splitted/5_320_1.pcd,0.03571428571428571
8,0,2.02,-254.689,/home/sayon/autoware_map/town01/splitted/5_0_-260.pcd,0.034482758620689655
8,1,88.38,-54.7226,/home/sayon/autoware_map/town01/splitted/4_73_-65.pcd,0.03333333333333333
8,2,134.095,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd,0.1935483870967742
8,3,298.62,-129.507,/home/sayon/autoware_map/town01/splitted/5_298_-135.pcd,0.03125
8,4,28.8777,-330.551,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd,0.09090909090909091
8,5,334.765,-218.71,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd,0.058823529411764705
8,6,318.802,2.01506,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd,0.02857142857142857
8,7,2.01,-312.35,/home/sayon/autoware_map/town01/splitted/4_-11_-325.pcd,0.05555555555555555
9,0,2.02,-241.209,/home/sayon/autoware_map/town01/splitted/4_0_-247.pcd,0.02702702702702703
